i Re Im
0 -11.4903 0
1 -7.73237 -525.009
2 1.70312 -484.863
3 14.1637 -489.767
4 -13.0613 -17.3329
5 -16.9689 -16.9252
6 -1.02852 9.86756
7 11.8173 12.758
8 -1.2721 5.60085
9 4.50277 -11.4412
10 11.5222 -20.8548
11 5.85483 -6.66419
12 -9.94813 17.0758
13 4.09729 9.90095
14 3.66632 -5.45847
15 -19.3619 3.71057
16 -3.01139 4.6201
17 6.43308 1.34782
18 -9.28605 4.80253
19 9.24287 0.925063
20 5.96497 -27.3469
21 22.9853 -16.8107
22 7.31162 4.07047
23 12.6759 -23.8201
24 -0.401026 -19.5289
25 -25.7809 24.4455
26 -6.40332 -30.3657
27 -15.871 -7.04116
28 2.59983 5.03877
29 1.07241 2.4133
30 16.2832 -0.341812
31 12.8516 13.4049
32 -8.35559 -7.85994
33 -29.229 7.1699
34 13.9962 -12.8393
35 8.89793 -4.43414
36 1.8838 12.7882
37 -13.3717 -28.2621
38 4.19987 3.91131
39 -0.599508 14.0535
40 13.5362 -20.8476
41 6.23877 -10.8059
42 13.3459 -11.5455
43 4.88139 6.17961
44 -2.54571 21.4562
45 8.34281 -32.5098
46 13.9007 3.00917
47 -8.49101 -18.2867
48 -15.5373 8.69433
49 -1.67769 -4.79057
50 9.11606 -15.4773
51 15.9235 18.932
52 -9.88582 8.94933
53 -5.6676 17.2912
54 -12.047 -10.3817
55 3.17684 8.82615
56 -8.52828 -11.5028
57 1.73447 13.0714
58 7.97619 -6.33449
59 23.8696 14.6975
60 18.42 -0.726648
61 8.47562 -7.94337
62 2.4089 18.989
63 13.3014 12.7363
64 1.06388 -14.034
65 5.27663 13.7137
66 -2.72981 -8.54629
67 9.16397 7.87017
68 -2.87318 2.54128
69 14.3877 8.88184
70 33.1697 18.5538
71 4.23862 -0.243251
72 21.2692 -9.02652
73 10.4004 -4.95249
74 -11.4125 -4.09961
75 14.8597 12.3681
76 -13.4911 -17.9611
77 16.6751 4.66693
78 0.048272 19.0819
79 -11.3105 -13.0878
80 18.1184 -6.8295
81 -11.4182 -8.7973
82 3.71118 14.7073
83 -23.623 -3.1422
84 -3.12226 -20.2187
85 13.0833 13.9966
86 12.6146 0.930205
87 -7.64319 -9.88369
88 -1.23812 -10.644
89 -11.2198 0.0974761
90 -10.0504 -3.06339
91 8.75033 -6.61511
92 -7.411 -0.236651
93 -10.9374 -19.1467
94 -8.30419 3.83639
95 -2.62889 -13.991
96 4.1651 -3.22887
97 5.82525 19.2251
98 1.06323 9.86516
99 -15.1237 -7.94075
100 13.6408 -0.868013
101 -2.00031 6.73792
102 11.9316 -4.75368
103 1.67931 10.7422
104 -15.1808 -24.1871
105 -4.72024 24.6224
106 -11.8524 0.559608
107 -11.6325 -14.3917
108 -26.6873 -12.1428
109 -2.51942 -8.21448
110 -12.5738 -10.2037
111 -21.1374 20.965
112 0.374508 -9.07031
113 4.43141 -5.65425
114 -10.3837 -2.09061
115 2.19176 17.3079
116 0.113936 -12.9953
117 -16.2059 -7.72335
118 21.7938 -1.13502
119 -6.01754 -6.06404
120 8.0465 24.0766
121 -12.1652 -3.2126
122 13.026 -19.6912
123 12.3447 -17.6726
124 6.66692 -12.3347
125 4.23725 -6.01202
126 9.67888 26.9361
127 15.6373 -13.9257
128 -5.15629 -11.4721
129 10.8439 4.50145
130 1.69226 -19.3314
131 7.1537 2.35177
132 -22.4458 -6.46813
133 15.6439 -19.4771
134 7.54656 7.44735
135 6.72667 -2.84647
136 4.91221 23.3286
137 5.22552 4.1001
138 3.08306 -18.9099
139 -13.4707 -18.6437
140 24.0123 2.05587
141 -7.14293 2.98947
142 5.69329 -3.05281
143 -6.79215 3.1478
144 -5.62683 -6.15324
145 11.5612 -12.2314
146 22.9759 -9.88186
147 -27.477 -27.7759
148 10.7387 -8.40182
149 -2.39624 10.648
150 12.5883 -0.367015
151 9.50909 -9.54579
152 3.90517 17.174
153 -7.84109 -5.35991
154 0.835748 1.02316
155 -2.42291 -7.00691
156 17.265 -13.9429
157 11.7451 -19.3322
158 28.3312 -7.2286
159 15.8448 -7.71048
160 -12.535 -13.8753
161 -4.12501 18.0534
162 -11.8672 -5.40815
163 -4.92973 3.80142
164 -0.702726 -4.64303
165 -14.3702 8.33394
166 0.282084 7.2497
167 -14.6217 1.694
168 -2.21653 -24.9212
169 -2.59435 -12.4353
170 -15.098 -1.85395
171 7.54297 -3.71889
172 -7.64879 -3.52587
173 19.606 18.3038
174 -4.42585 5.8678
175 20.3365 -14.1504
176 -5.70611 4.602
177 -20.1253 -7.1462
178 -0.574816 -32.3269
179 -11.9326 -9.51546
180 6.89118 -13.5791
181 -22.3843 -3.98475
182 -4.8676 4.95202
183 -3.00872 14.9028
184 -19.1918 5.75668
185 5.64684 12.3593
186 -5.75773 -6.45391
187 -17.1672 21.9805
188 8.45941 9.49779
189 4.4644 -30.2058
190 29.3141 1.23287
191 0.889468 -45.5441
192 4.42614 -0.645239
193 1.61989 -0.897131
194 3.67808 -1.8872
195 14.7561 6.08369
196 -0.358742 -18.0927
197 -3.01373 4.45123
198 20.8265 14.8814
199 11.3576 16.0597
200 -21.261 15.541
201 -0.987719 -1.81592
202 -12.4433 18.1044
203 -27.3597 26.7428
204 14.7147 -10.6646
205 6.00142 13.9029
206 -2.08676 4.87062
207 -6.47174 23.0632
208 8.76535 -2.79125
209 -14.6321 18.1461
210 -14.1222 -3.2415
211 20.7221 -3.86923
212 3.76872 6.89663
213 2.76506 16.8013
214 8.26098 13.4383
215 8.24946 -12.3193
216 -8.44233 -5.95395
217 11.3684 -4.85927
218 -5.52285 11.2372
219 -9.09304 -7.99023
220 -12.3409 1.84256
221 -2.85764 -6.75867
222 28.5549 12.8309
223 10.7684 -22.2942
224 -6.69406 6.1701
225 -20.0558 3.2535
226 -4.37458 2.7664
227 -2.58278 -6.01678
228 1.86643 -5.46032
229 39.0654 -2.50213
230 12.6437 -6.91658
231 -28.9888 -11.3642
232 0.121899 11.8582
233 -13.5822 7.85318
234 9.79262 8.45355
235 -5.33551 -15.2384
236 5.0947 -13.1754
237 15.8255 -2.71256
238 2.90976 3.78437
239 -12.3336 0.835851
240 12.2906 12.4705
241 -13.9244 16.8626
242 0.310102 5.16899
243 14.6535 -0.384195
244 6.35859 17.3492
245 -8.22555 -0.967735
246 -4.78507 1.5774
247 29.599 -4.33434
248 0.286316 1.14439
249 -2.6592 -13.458
250 12.7481 -1.75676
251 12.1521 24.0476
252 7.68372 -0.774411
253 8.11903 12.0577
254 25.6367 3.12102
255 20.8765 11.8976
256 -1.0723 -1.3298
257 -17.7613 -4.38872
258 -0.198745 1.70303
259 -2.28568 13.737
260 -3.34918 10.3704
261 -17.694 23.5888
262 -17.91 -12.856
263 -7.69342 -8.26123
264 9.00843 2.65141
265 -0.134722 -8.74463
266 19.6795 -7.75309
267 2.1454 -12.915
268 4.40883 2.00576
269 -0.964026 -3.87763
270 -11.0218 -12.5266
271 5.01884 2.72388
272 -2.03087 1.30967
273 8.2035 6.32063
274 1.64835 -6.03153
275 12.6826 7.4299
276 -16.9414 -17.6954
277 0.405548 5.21956
278 8.47273 -6.73463
279 -23.1109 -7.22149
280 0.672703 -9.59741
281 -16.1856 -9.7527
282 19.3819 8.20014
283 23.7348 -30.9465
284 7.19169 -17.4969
285 -3.95509 0.314394
286 8.13938 2.21806
287 26.4295 13.6316
288 -26.8751 10.5489
289 17.1213 15.2388
290 9.10712 5.94562
291 22.9914 7.55825
292 -4.15907 -0.575976
293 -19.3711 -4.52246
294 -3.51749 12.5518
295 -13.6504 0.442799
296 -30.2794 0.475249
297 27.9172 -1.16997
298 20.6985 0.0145695
299 10.7427 9.27691
300 -17.9852 -5.88441
301 0.44204 16.4207
302 8.69416 -3.01153
303 6.21098 25.5955
304 5.56782 10.8979
305 3.84259 -0.669092
306 15.1934 12.4818
307 -3.43713 -8.77329
308 13.378 -8.94729
309 12.6915 31.8756
310 4.50708 0.714326
311 17.162 -11.7069
312 11.4352 -12.1891
313 5.35206 14.9577
314 1.60302 -6.41932
315 -2.10486 18.3614
316 -5.14942 4.11041
317 6.3741 -6.00529
318 18.1866 -15.0788
319 -8.36512 -11.7953
320 4.14127 -6.7731
321 6.34384 -19.4022
322 -4.2094 -13.3886
323 -10.4901 -6.29852
324 -9.17572 3.08056
325 4.16174 -14.24
326 -2.69093 -17.3255
327 8.93744 -0.401047
328 0.923096 16.2003
329 23.6647 11.689
330 12.2356 34.2525
331 5.49866 -25.7077
332 9.92834 -15.0809
333 7.2507 0.24991
334 18.0337 19.4829
335 8.2799 -3.42946
336 9.62547 0.715017
337 19.5831 -3.52757
338 -11.0918 -4.9553
339 -4.67763 -5.28699
340 -2.79683 15.9298
341 -6.40898 16.8937
342 -0.925649 -2.57541
343 -21.9218 0.502915
344 -29.8719 -24.3923
345 -1.68923 -4.42282
346 -10.3202 -6.94674
347 -0.92713 -31.3912
348 -27.9167 -12.6809
349 -19.0997 -5.15458
350 17.4555 11.7797
351 -1.26263 0.875915
352 9.43043 12.7289
353 -9.4101 -18.1671
354 3.87688 -13.0538
355 44.4543 8.02346
356 4.0792 -26.2503
357 8.05752 -17.7403
358 -8.98166 -5.41589
359 1.45167 -1.96706
360 -10.5014 -5.46812
361 -7.80001 16.3461
362 11.7697 -3.9678
363 23.7824 0.880686
364 -2.26125 -12.1501
365 9.52678 15.5927
366 -4.80776 -0.953327
367 2.58634 16.6465
368 8.59433 -17.7118
369 1.19241 -10.5593
370 -29.6461 -3.41103
371 0.80626 -8.30714
372 -11.8882 7.2539
373 -5.06356 5.87345
374 13.3296 -18.419
375 12.0213 13.7253
376 9.23338 -2.93498
377 19.566 12.1764
378 -7.59002 16.6613
379 -7.62456 9.04811
380 25.6101 1.95405
381 -13.8169 -14.3835
382 -34.8059 4.80242
383 -20.7931 -10.0597
384 15.4721 3.3264
385 4.86995 -0.991766
386 -9.32945 0.727351
387 -3.57614 14.5697
388 -5.68013 7.05465
389 7.7697 4.29891
390 -3.83316 21.8015
391 -9.10293 -11.4846
392 4.25172 16.9143
393 7.57699 -13.5832
394 -14.6946 4.993
395 7.56891 8.81857
396 -1.54111 9.32053
397 0.122165 10.4502
398 1.60279 19.7651
399 -25.5528 -21.1648
400 -5.86591 -0.377757
401 -1.75945 -8.01065
402 20.4431 4.19885
403 11.0299 19.013
404 11.0934 -5.33832
405 -5.22503 0.0593976
406 8.10471 12.1468
407 -18.745 3.46646
408 -10.0609 2.1182
409 4.70665 9.53864
410 -5.76776 10.6239
411 1.40073 -3.64964
412 8.08969 6.94876
413 -22.3918 -9.5197
414 -6.49811 12.4058
415 32.0108 10.1725
416 0.357795 -3.54363
417 -0.0277009 -2.76827
418 -32.997 -9.79927
419 -1.46208 19.8966
420 4.97474 14.8271
421 0.0250933 18.0135
422 -18.4213 7.37277
423 -2.65973 14.634
424 2.65757 0.565972
425 12.8973 2.61694
426 -8.18204 -2.15033
427 5.6876 11.0644
428 -7.13162 -9.45599
429 -0.204301 -7.42981
430 14.2529 17.034
431 18.8029 -19.4785
432 -7.33578 -6.59701
433 -15.1878 -5.74381
434 -12.8852 -13.2579
435 -19.3952 -16.5972
436 12.5201 -5.30483
437 -6.85761 -0.631038
438 4.8896 -5.34155
439 35.7749 23.182
440 5.75619 -16.538
441 -13.5575 -15.8272
442 15.3315 2.63472
443 42.9771 9.6837
444 -17.2602 1.69008
445 12.1759 7.10571
446 -22.6325 -2.3442
447 11.8759 6.36748
448 -12.9689 -2.22447
449 4.11962 8.25174
450 -7.60508 -27.7804
451 4.42996 -10.9979
452 -7.23622 12.6549
453 3.28732 -0.957178
454 -11.9399 12.6661
455 -2.85562 -11.9225
456 1.70073 11.1774
457 13.3375 -18.6785
458 -5.10761 -8.33672
459 -11.7154 -1.66452
460 -6.60147 -17.2169
461 -5.8646 -19.0177
462 6.75323 20.2965
463 -15.5525 -5.611
464 -1.57822 17.9368
465 29.5846 -0.174189
466 -10.0418 -16.953
467 4.16494 -16.1232
468 9.84658 12.7507
469 -17.8382 9.14044
470 21.8748 -14.1722
471 19.6562 4.56111
472 24.3166 15.5892
473 12.1093 -5.45853
474 -0.349059 6.38112
475 -19.2958 -24.5633
476 -20.7039 -4.76103
477 -2.68201 4.3319
478 13.9558 -15.9172
479 9.05506 -2.13731
480 -10.5347 6.43478
481 10.9453 -15.9965
482 -24.2537 -11.4004
483 -10.0408 1.54449
484 16.0774 -8.10666
485 7.85087 -7.08305
486 -10.0456 1.42432
487 9.67945 18.2547
488 3.46953 16.2151
489 -3.05912 -7.36644
490 5.3148 7.61654
491 -9.95899 -7.33569
492 -5.45883 -6.68271
493 -3.02177 -21.7286
494 23.3727 6.01168
495 -2.79628 -28.325
496 -3.26642 8.66915
497 6.60048 -3.02742
498 1.85835 -11.8575
499 -1.60617 -11.3784
500 4.8176 -11.756
501 10.237 -0.0607982
502 -13.0965 -12.496
503 -22.9895 9.1359
504 -7.78324 -22.1389
505 -16.6467 -4.71506
506 5.31142 -13.6168
507 -8.85832 -2.38325
508 15.4363 -6.90315
509 7.45061 26.943
510 -9.60297 3.51303
511 0.23692 -26.0751
512 -1.97163 0
513 0.23692 26.0751
514 -9.60297 -3.51303
515 7.45061 -26.943
516 15.4363 6.90315
517 -8.85832 2.38325
518 5.31142 13.6168
519 -16.6467 4.71506
520 -7.78324 22.1389
521 -22.9895 -9.1359
522 -13.0965 12.496
523 10.237 0.0607982
524 4.8176 11.756
525 -1.60617 11.3784
526 1.85835 11.8575
527 6.60048 3.02742
528 -3.26642 -8.66915
529 -2.79628 28.325
530 23.3727 -6.01168
531 -3.02177 21.7286
532 -5.45883 6.68271
533 -9.95899 7.33569
534 5.3148 -7.61654
535 -3.05912 7.36644
536 3.46953 -16.2151
537 9.67945 -18.2547
538 -10.0456 -1.42432
539 7.85087 7.08305
540 16.0774 8.10666
541 -10.0408 -1.54449
542 -24.2537 11.4004
543 10.9453 15.9965
544 -10.5347 -6.43478
545 9.05506 2.13731
546 13.9558 15.9172
547 -2.68201 -4.3319
548 -20.7039 4.76103
549 -19.2958 24.5633
550 -0.349059 -6.38112
551 12.1093 5.45853
552 24.3166 -15.5892
553 19.6562 -4.56111
554 21.8748 14.1722
555 -17.8382 -9.14044
556 9.84658 -12.7507
557 4.16494 16.1232
558 -10.0418 16.953
559 29.5846 0.174189
560 -1.57822 -17.9368
561 -15.5525 5.611
562 6.75323 -20.2965
563 -5.8646 19.0177
564 -6.60147 17.2169
565 -11.7154 1.66452
566 -5.10761 8.33672
567 13.3375 18.6785
568 1.70073 -11.1774
569 -2.85562 11.9225
570 -11.9399 -12.6661
571 3.28732 0.957178
572 -7.23622 -12.6549
573 4.42996 10.9979
574 -7.60508 27.7804
575 4.11962 -8.25174
576 -12.9689 2.22447
577 11.8759 -6.36748
578 -22.6325 2.3442
579 12.1759 -7.10571
580 -17.2602 -1.69008
581 42.9771 -9.6837
582 15.3315 -2.63472
583 -13.5575 15.8272
584 5.75619 16.538
585 35.7749 -23.182
586 4.8896 5.34155
587 -6.85761 0.631038
588 12.5201 5.30483
589 -19.3952 16.5972
590 -12.8852 13.2579
591 -15.1878 5.74381
592 -7.33578 6.59701
593 18.8029 19.4785
594 14.2529 -17.034
595 -0.204301 7.42981
596 -7.13162 9.45599
597 5.6876 -11.0644
598 -8.18204 2.15033
599 12.8973 -2.61694
600 2.65757 -0.565972
601 -2.65973 -14.634
602 -18.4213 -7.37277
603 0.0250933 -18.0135
604 4.97474 -14.8271
605 -1.46208 -19.8966
606 -32.997 9.79927
607 -0.0277009 2.76827
608 0.357795 3.54363
609 32.0108 -10.1725
610 -6.49811 -12.4058
611 -22.3918 9.5197
612 8.08969 -6.94876
613 1.40073 3.64964
614 -5.76776 -10.6239
615 4.70665 -9.53864
616 -10.0609 -2.1182
617 -18.745 -3.46646
618 8.10471 -12.1468
619 -5.22503 -0.0593976
620 11.0934 5.33832
621 11.0299 -19.013
622 20.4431 -4.19885
623 -1.75945 8.01065
624 -5.86591 0.377757
625 -25.5528 21.1648
626 1.60279 -19.7651
627 0.122165 -10.4502
628 -1.54111 -9.32053
629 7.56891 -8.81857
630 -14.6946 -4.993
631 7.57699 13.5832
632 4.25172 -16.9143
633 -9.10293 11.4846
634 -3.83316 -21.8015
635 7.7697 -4.29891
636 -5.68013 -7.05465
637 -3.57614 -14.5697
638 -9.32945 -0.727351
639 4.86995 0.991766
640 15.4721 -3.3264
641 -20.7931 10.0597
642 -34.8059 -4.80242
643 -13.8169 14.3835
644 25.6101 -1.95405
645 -7.62456 -9.04811
646 -7.59002 -16.6613
647 19.566 -12.1764
648 9.23338 2.93498
649 12.0213 -13.7253
650 13.3296 18.419
651 -5.06356 -5.87345
652 -11.8882 -7.2539
653 0.80626 8.30714
654 -29.6461 3.41103
655 1.19241 10.5593
656 8.59433 17.7118
657 2.58634 -16.6465
658 -4.80776 0.953327
659 9.52678 -15.5927
660 -2.26125 12.1501
661 23.7824 -0.880686
662 11.7697 3.9678
663 -7.80001 -16.3461
664 -10.5014 5.46812
665 1.45167 1.96706
666 -8.98166 5.41589
667 8.05752 17.7403
668 4.0792 26.2503
669 44.4543 -8.02346
670 3.87688 13.0538
671 -9.4101 18.1671
672 9.43043 -12.7289
673 -1.26263 -0.875915
674 17.4555 -11.7797
675 -19.0997 5.15458
676 -27.9167 12.6809
677 -0.92713 31.3912
678 -10.3202 6.94674
679 -1.68923 4.42282
680 -29.8719 24.3923
681 -21.9218 -0.502915
682 -0.925649 2.57541
683 -6.40898 -16.8937
684 -2.79683 -15.9298
685 -4.67763 5.28699
686 -11.0918 4.9553
687 19.5831 3.52757
688 9.62547 -0.715017
689 8.2799 3.42946
690 18.0337 -19.4829
691 7.2507 -0.24991
692 9.92834 15.0809
693 5.49866 25.7077
694 12.2356 -34.2525
695 23.6647 -11.689
696 0.923096 -16.2003
697 8.93744 0.401047
698 -2.69093 17.3255
699 4.16174 14.24
700 -9.17572 -3.08056
701 -10.4901 6.29852
702 -4.2094 13.3886
703 6.34384 19.4022
704 4.14127 6.7731
705 -8.36512 11.7953
706 18.1866 15.0788
707 6.3741 6.00529
708 -5.14942 -4.11041
709 -2.10486 -18.3614
710 1.60302 6.41932
711 5.35206 -14.9577
712 11.4352 12.1891
713 17.162 11.7069
714 4.50708 -0.714326
715 12.6915 -31.8756
716 13.378 8.94729
717 -3.43713 8.77329
718 15.1934 -12.4818
719 3.84259 0.669092
720 5.56782 -10.8979
721 6.21098 -25.5955
722 8.69416 3.01153
723 0.44204 -16.4207
724 -17.9852 5.88441
725 10.7427 -9.27691
726 20.6985 -0.0145695
727 27.9172 1.16997
728 -30.2794 -0.475249
729 -13.6504 -0.442799
730 -3.51749 -12.5518
731 -19.3711 4.52246
732 -4.15907 0.575976
733 22.9914 -7.55825
734 9.10712 -5.94562
735 17.1213 -15.2388
736 -26.8751 -10.5489
737 26.4295 -13.6316
738 8.13938 -2.21806
739 -3.95509 -0.314394
740 7.19169 17.4969
741 23.7348 30.9465
742 19.3819 -8.20014
743 -16.1856 9.7527
744 0.672703 9.59741
745 -23.1109 7.22149
746 8.47273 6.73463
747 0.405548 -5.21956
748 -16.9414 17.6954
749 12.6826 -7.4299
750 1.64835 6.03153
751 8.2035 -6.32063
752 -2.03087 -1.30967
753 5.01884 -2.72388
754 -11.0218 12.5266
755 -0.964026 3.87763
756 4.40883 -2.00576
757 2.1454 12.915
758 19.6795 7.75309
759 -0.134722 8.74463
760 9.00843 -2.65141
761 -7.69342 8.26123
762 -17.91 12.856
763 -17.694 -23.5888
764 -3.34918 -10.3704
765 -2.28568 -13.737
766 -0.198745 -1.70303
767 -17.7613 4.38872
768 -1.0723 1.3298
769 20.8765 -11.8976
770 25.6367 -3.12102
771 8.11903 -12.0577
772 7.68372 0.774411
773 12.1521 -24.0476
774 12.7481 1.75676
775 -2.6592 13.458
776 0.286316 -1.14439
777 29.599 4.33434
778 -4.78507 -1.5774
779 -8.22555 0.967735
780 6.35859 -17.3492
781 14.6535 0.384195
782 0.310102 -5.16899
783 -13.9244 -16.8626
784 12.2906 -12.4705
785 -12.3336 -0.835851
786 2.90976 -3.78437
787 15.8255 2.71256
788 5.0947 13.1754
789 -5.33551 15.2384
790 9.79262 -8.45355
791 -13.5822 -7.85318
792 0.121899 -11.8582
793 -28.9888 11.3642
794 12.6437 6.91658
795 39.0654 2.50213
796 1.86643 5.46032
797 -2.58278 6.01678
798 -4.37458 -2.7664
799 -20.0558 -3.2535
800 -6.69406 -6.1701
801 10.7684 22.2942
802 28.5549 -12.8309
803 -2.85764 6.75867
804 -12.3409 -1.84256
805 -9.09304 7.99023
806 -5.52285 -11.2372
807 11.3684 4.85927
808 -8.44233 5.95395
809 8.24946 12.3193
810 8.26098 -13.4383
811 2.76506 -16.8013
812 3.76872 -6.89663
813 20.7221 3.86923
814 -14.1222 3.2415
815 -14.6321 -18.1461
816 8.76535 2.79125
817 -6.47174 -23.0632
818 -2.08676 -4.87062
819 6.00142 -13.9029
820 14.7147 10.6646
821 -27.3597 -26.7428
822 -12.4433 -18.1044
823 -0.987719 1.81592
824 -21.261 -15.541
825 11.3576 -16.0597
826 20.8265 -14.8814
827 -3.01373 -4.45123
828 -0.358742 18.0927
829 14.7561 -6.08369
830 3.67808 1.8872
831 1.61989 0.897131
832 4.42614 0.645239
833 0.889468 45.5441
834 29.3141 -1.23287
835 4.4644 30.2058
836 8.45941 -9.49779
837 -17.1672 -21.9805
838 -5.75773 6.45391
839 5.64684 -12.3593
840 -19.1918 -5.75668
841 -3.00872 -14.9028
842 -4.8676 -4.95202
843 -22.3843 3.98475
844 6.89118 13.5791
845 -11.9326 9.51546
846 -0.574816 32.3269
847 -20.1253 7.1462
848 -5.70611 -4.602
849 20.3365 14.1504
850 -4.42585 -5.8678
851 19.606 -18.3038
852 -7.64879 3.52587
853 7.54297 3.71889
854 -15.098 1.85395
855 -2.59435 12.4353
856 -2.21653 24.9212
857 -14.6217 -1.694
858 0.282084 -7.2497
859 -14.3702 -8.33394
860 -0.702726 4.64303
861 -4.92973 -3.80142
862 -11.8672 5.40815
863 -4.12501 -18.0534
864 -12.535 13.8753
865 15.8448 7.71048
866 28.3312 7.2286
867 11.7451 19.3322
868 17.265 13.9429
869 -2.42291 7.00691
870 0.835748 -1.02316
871 -7.84109 5.35991
872 3.90517 -17.174
873 9.50909 9.54579
874 12.5883 0.367015
875 -2.39624 -10.648
876 10.7387 8.40182
877 -27.477 27.7759
878 22.9759 9.88186
879 11.5612 12.2314
880 -5.62683 6.15324
881 -6.79215 -3.1478
882 5.69329 3.05281
883 -7.14293 -2.98947
884 24.0123 -2.05587
885 -13.4707 18.6437
886 3.08306 18.9099
887 5.22552 -4.1001
888 4.91221 -23.3286
889 6.72667 2.84647
890 7.54656 -7.44735
891 15.6439 19.4771
892 -22.4458 6.46813
893 7.1537 -2.35177
894 1.69226 19.3314
895 10.8439 -4.50145
896 -5.15629 11.4721
897 15.6373 13.9257
898 9.67888 -26.9361
899 4.23725 6.01202
900 6.66692 12.3347
901 12.3447 17.6726
902 13.026 19.6912
903 -12.1652 3.2126
904 8.0465 -24.0766
905 -6.01754 6.06404
906 21.7938 1.13502
907 -16.2059 7.72335
908 0.113936 12.9953
909 2.19176 -17.3079
910 -10.3837 2.09061
911 4.43141 5.65425
912 0.374508 9.07031
913 -21.1374 -20.965
914 -12.5738 10.2037
915 -2.51942 8.21448
916 -26.6873 12.1428
917 -11.6325 14.3917
918 -11.8524 -0.559608
919 -4.72024 -24.6224
920 -15.1808 24.1871
921 1.67931 -10.7422
922 11.9316 4.75368
923 -2.00031 -6.73792
924 13.6408 0.868013
925 -15.1237 7.94075
926 1.06323 -9.86516
927 5.82525 -19.2251
928 4.1651 3.22887
929 -2.62889 13.991
930 -8.30419 -3.83639
931 -10.9374 19.1467
932 -7.411 0.236651
933 8.75033 6.61511
934 -10.0504 3.06339
935 -11.2198 -0.0974761
936 -1.23812 10.644
937 -7.64319 9.88369
938 12.6146 -0.930205
939 13.0833 -13.9966
940 -3.12226 20.2187
941 -23.623 3.1422
942 3.71118 -14.7073
943 -11.4182 8.7973
944 18.1184 6.8295
945 -11.3105 13.0878
946 0.048272 -19.0819
947 16.6751 -4.66693
948 -13.4911 17.9611
949 14.8597 -12.3681
950 -11.4125 4.09961
951 10.4004 4.95249
952 21.2692 9.02652
953 4.23862 0.243251
954 33.1697 -18.5538
955 14.3877 -8.88184
956 -2.87318 -2.54128
957 9.16397 -7.87017
958 -2.72981 8.54629
959 5.27663 -13.7137
960 1.06388 14.034
961 13.3014 -12.7363
962 2.4089 -18.989
963 8.47562 7.94337
964 18.42 0.726648
965 23.8696 -14.6975
966 7.97619 6.33449
967 1.73447 -13.0714
968 -8.52828 11.5028
969 3.17684 -8.82615
970 -12.047 10.3817
971 -5.6676 -17.2912
972 -9.88582 -8.94933
973 15.9235 -18.932
974 9.11606 15.4773
